id_lieu;type_de_tournage;titre;realisateur_ice;societe_de_production;fk_localisation;date_de_debut;date_de_fin
2019-168;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;5252;2019-02-15;2019-02-16
2019-169;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;4553;2019-02-15;2019-02-15
2019-523;Série TV;Munch saison 3;Laurent TUEL;JLAPRODUCTIONS;3154;2019-05-24;2019-05-25
2019-528;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;4498;2019-05-21;2019-05-21
2019-1449;Long métrage;PAR UN DEMI CLAIR MATIN;Bruno Dumont;3B PRODUCTIONS;4252;2019-11-03;2019-11-03
2019-1450;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;1475;2019-10-23;2019-10-23
2018-800;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);5243;2018-07-10;2018-07-10
2018-817;Série Web;Sid Lee - Salomon;Eric Meng;Les Initiés;4080;2018-07-11;2018-07-11
2018-1516;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;2389;2018-12-05;2018-12-06
2018-1519;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;2576;2018-12-06;2018-12-08
2018-1544;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;59;2018-12-11;2018-12-11
2018-1551;Long métrage;La nuit venue;Frederic Farrucci;Koro film;3884;2018-12-12;2018-12-13
2019-478;Série TV;ROMANCE;Hervé HADMAR;CINETEVE;2744;2019-04-30;2019-05-01
2019-480;Série TV;PLATANE SAISON 3;ERIC JUDOR;4 MECS EN BASKETS;208;2019-05-13;2019-05-13
2019-1477;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;4745;2019-11-07;2019-11-07
2018-858;Série Web;La République;Simon Bouisson;Cinétévé;4966;2018-07-26;2018-07-26
2018-862;Série Web;La République;Simon Bouisson;Cinétévé;1090;2018-07-27;2018-07-28
2018-1257;Long métrage;LA BELLE EPOQUE;NICOLAS BEDOS;LES FILMS DU KIOSQUE;5471;2018-10-16;2018-10-17
2018-1273;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;4387;2018-10-26;2018-10-26
2019-235;Long métrage;UN VOYAGE EN HIVER;Claus DREXLER;MANEKI FILMS;4228;2019-03-12;2019-03-12
2019-256;Long métrage;LE SEL DES LARMES;Philippe Garrel;RECTANGLE PRODUCTIONS;3567;2019-03-09;2019-03-09
2019-537;Série TV;The Eddy;Damien Chazelle;atlantique productions;316;2019-05-24;2019-05-24
2019-1537;Long métrage;Tendre et saignant;Christopher Thompson;Les Films du Cap;2761;2019-11-18;2019-11-19
2018-917;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;2941;2018-08-06;2018-08-06
2019-187;Long métrage;les hommes de Namsan;Min-Ho Woo;KEYSTONE FILMS;585;2019-02-22;2019-02-22
2019-197;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;556;2019-02-26;2019-02-27
2019-201;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;1988;2019-02-26;2019-02-26
2019-217;Long métrage;Musique de Chambre;Christophe Honoré;LES FILMS PELLEAS;3691;2019-03-18;2019-03-18
2019-549;Série TV;The Eddy;Damien Chazelle;atlantique productions;219;2019-05-28;2019-05-29
2019-564;Long métrage;VILLA CAPRICE;BERNARD STORA;JPG FILMS;3010;2019-06-04;2019-06-05
2019-566;Série TV;The Eddy;Damien Chazelle;atlantique productions;2862;2019-05-30;2019-05-30
2019-567;Série TV;The Eddy;Damien Chazelle;atlantique productions;4601;2019-05-31;2019-06-01
2019-587;Long métrage;THE HUNTING;LEO ZHANG;SWEET DREAMS FILMS;3439;2019-06-05;2019-06-05
2019-1552;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;4680;2019-11-19;2019-11-20
2019-1554;Série TV;MODERN FAMILY 11;Jim Bagdonas;FROGGIE PRODUCTION;1880;2019-11-15;2019-11-15
2019-1567;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;3229;2019-11-16;2019-11-17
2019-1573;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;4153;2019-11-20;2019-11-20
