localisation_de_la_scene;code_postal;longitude;latitude;id_localisation
 sentier de la pointe;75020;2.401617;48.855603;1
1 11 rue foyatier;75018;2.342313;48.885663;2
1 12 villa claude monet;75019;2.39017;48.881557;3
1 12 villa cronstadt;75019;2.390815;48.881048;4
1 2 avenue d iena;75016;2.292502;48.863096;5
1 3 rue camille blaizot terre plein ;75017;2.32866;48.899266;6
1 3 rue des grands augustins;75006;2.341235;48.854898;7
1 3 rue henri ribiere;75019;2.395117;48.876358;8
1 3 rue pajou;75016;2.273142;48.856923;9
1 5 rue saint eleuthere;75018;2.342206;48.88567;10
1 au 18 rue des saints peres;75007;2.331747;48.856519;11
1 au 24 rue de beaune;75007;2.328898;48.85745;12
1 au 26 rue du bac;75007;2.327982;48.857848;13
1 au 31 rue robert de flers;75015;2.283061;48.848651;14
1 au 42 rue de l universite;75007;2.328188;48.857696;15
1 au 9 avenue trudaine;75009;2.3456770000000002;48.881717;16
1 avenue adrien hebrard;75016;2.27053998;48.85335072;17
1 avenue carnot;75017;2.29372439;48.87479024;18
1 avenue claude vellefaux;75010;2.36978787;48.87290691;19
1 avenue de la porte de choisy;75013;2.36629264;48.81773717;20
1 avenue de la porte de clignancourt;75018;2.34388523;48.89820903;21
1 avenue de la porte de pantin;75019;2.39743311;48.890302;22
1 avenue de laumiere;75019;2.38136387;48.8827233;23
1 avenue du bel air;75012;2.39778022;48.84561288;24
1 avenue du cimetiere des batignolles;75017;2.31232654;48.89561585;25
1 avenue du colonel bonnet;75016;2.2789805100000002;48.85478202;26
1 avenue du colonel henri rol tanguy;75014;2.33250637;48.83398105;27
1 avenue ernest reyer;75014;2.31866666;48.82376329;28
1 avenue franklin d roosevelt;75008;2.31003588;48.86530708;29
1 avenue jean jaures;75019;2.37102017;48.88315249;30
1 avenue junot;75018;2.33726499;48.88763615;31
1 avenue prudhon;75016;2.26963987;48.85862444;32
1 avenue richerand;75010;2.36550458;48.87193698;33
1 avenue victor hugo;75116;2.29349896;48.8729234;34
1 boulevard de belleville;75011;2.3825043900000002;48.86730571;35
1 boulevard de bonne nouvelle;75002;2.35229226;48.869592420000004;36
1 boulevard de grenelle;75015;2.28918634;48.8544389;37
1 boulevard de la villette;75010;2.37655571;48.8721086;38
1 boulevard de reuilly;75012;2.38944023;48.83924574;39
1 boulevard de rochechouart;75009;2.34924994;48.88349898;40
1 boulevard des italiens brasserie le cardinal;75002;2.339795;48.871891;41
1 boulevard jules ferry;75011;2.36846143;48.86667997;42
1 boulevard poissonniere;75002;2.34766569;48.87055625;43
1 boulevard serurier;75019;2.40629851;48.87727215;44
1 parvis du sacre coeur;75018;2.34307128;48.88632682;45
1 parvis du tribunal de paris;75017;2.3104801200000002;48.89534655;46
1 parvis notre dame;75004;2.347729;48.854342;47
1 parvis notre dame place jean paul ii;75004;2.34834717;48.8539284;48
1 passage bullourde;75011;2.3764334;48.85458137;49
1 passage de la canopee;75001;2.34782671;48.86161;50
1 passage de la trinite;75002;2.35095003;48.86586517;51
1 passage rochebrune;75011;2.38016866;48.86153237;52
1 passage saint jules;75018;2.33616466;48.89675351;53
1 place andre malraux;75001;2.33468897;48.86376896;54
1 place boieldieu;75002;2.3376554;48.87067117;55
1 place charles dullin;75018;2.3424734799999998;48.88337997;56
1 place constantin pecqueur;75018;2.3379320999999997;48.88882549;57
1 place d anvers;75009;2.3442979;48.88174952;58
1 place de breteuil;75007;2.31224982;48.84770728;59
1 place de l estrapade;75005;2.345069;48.845058;60
1 place de l odeon;75006;2.33889922;48.85009249;61
1 place de la bastille;75004;2.36803573;48.85301953;62
1 place de la concorde;75001;2.32320026;48.86598683;63
1 place de la nation;75011;2.39429967;48.84882353;64
1 place de la porte de pantin;75019;2.39486793;48.88962818;65
1 place de la republique dominicaine;75008;2.30925348;48.88027314;66
1 place de la sorbonne;75005;2.34258458;48.84840155;67
1 place de notre dame;75004;2.351614;48.852776;68
1 place de valois;75001;2.33808588;48.86337049;69
1 place des cinq martyrs du lycee buffon;75015;2.31695927;48.83894984;70
1 place des vosges;75004;2.36529943;48.85499857;71
1 place du chatelet;75001;2.346755;48.8576;72
1 place du marechal juin;75017;2.29803542;48.88460613;73
1 place du palais bourbon;75007;2.31889362;48.86063872;74
1 place du palais royal;75001;2.336185;48.862728;75
1 place du parvis de notre dame;75004;2.347729;48.854342;76
1 place du trocadero;75016;2.281879;48.862323;77
1 place du trocadero et du onze novembre;75116;2.28834247;48.86290494;78
1 place gambetta;75020;2.39854307;48.86450227;79
1 place maurice barres;75001;2.32572614;48.86725548;80
1 place pigalle;75009;2.33776162;48.88207825;81
1 place saint gervais;75004;2.35419202;48.85546959;82
1 place saint sulpice;75006;2.33445377;48.85054013;83
1 quai aux fleurs;75004;2.352022;48.852888;84
1 quai d austerlitz;75013;2.373294;48.837639;85
1 quai de l archeveche;75004;2.35222853;48.85237533;86
1 quai de l horloge;75001;2.34569637;48.85636073;87
1 quai de la gironde;75019;2.3854353;48.89267613;88
1 quai de la loire;75019;2.37057444;48.88317734;89
1 rue abel;75012;2.3743704;48.84617777;90
1 rue alphonse de neuville;75017;2.302812;48.88545076;91
1 rue ambroise pare;75010;2.35375916;48.8816999;92
1 rue andrieu;75008;2.319169;48.880669;93
1 rue auber;75009;2.33145982;48.87114506;94
1 rue bausset;75015;2.3001825;48.84006183;95
1 rue berbier du mets;75013;2.3512108400000002;48.83333198;96
1 rue bois le vent;75016;2.277292;48.857471;97
1 rue botzaris;75019;2.38101742;48.87647305;98
1 rue catulle mendes;75017;2.2917607;48.88621326;99
1 rue charles moureu;75013;2.36320177;48.82682886;100
1 rue crespin du gast;75011;2.3814832900000003;48.86648266;101
1 rue d argentine;75116;2.28970683;48.87431237;102
1 rue daru;75008;2.3006551;48.87739784;103
1 rue david d angers;75019;2.38849778;48.88312954;104
1 rue de babylone;75007;2.32575284;48.85166634;105
1 rue de belgrade;75007;2.302377;48.85595018;106
1 rue de berite;75006;2.32391052;48.84804231;107
1 rue de bretagne;75003;2.36410499;48.86197202;108
1 rue de brosse;75004;2.35374308;48.85527667;109
1 rue de capri;75012;2.39792743;48.83554492;110
1 rue de castiglione;75001;2.327274;48.865506;111
1 rue de chaillot;75116;2.29555499;48.8657295;112
1 rue de chazelles;75017;2.303292;48.879445;113
1 rue de cherbourg;75015;2.30473946;48.83170273;114
1 rue de l alboni;75016;2.28621849;48.8569069;115
1 rue de l oise;75019;2.38205935;48.89017261;116
1 rue de la boule rouge;75009;2.3446143;48.87322332;117
1 rue de la bucherie;75005;2.34912298;48.85130613;118
1 rue de la legion d honneur;75007;2.32569601;48.86045037;119
1 rue de la manutention;75116;2.29607471;48.86363823;120
1 rue de la paix;75002;2.33031005;48.86854647;121
1 rue de libourne;75012;2.38720718;48.83146972;122
1 rue de libourne hotel pullman;75012;2.3873860000000002;48.831471;123
1 rue de magenta 93500 pantin;93500;2.38983496;48.90115655;124
1 rue de medicis;75006;2.33925404;48.84888765;125
1 rue de tombouctou;75018;2.35617767;48.88452157;126
1 rue de vouille;75015;2.30288371;48.83548321;127
1 rue denoyez;75020;2.37878709;48.87104945;128
1 rue des abbesses;75018;2.339512;48.883687;129
1 rue des dardanelles;75017;2.28504;48.881776;130
1 rue des envierges;75020;2.385858;48.871595;131
1 rue des grands augustins;75006;2.34145;48.855084;132
1 rue des hospitalieres saint gervais;75004;2.35846704;48.85777684;133
1 rue des longues raies;75013;2.35028376;48.82116195;134
1 rue des montiboeufs;75020;2.40574025;48.86613519;135
1 rue des panoyaux;75020;2.38428449;48.86619549;136
1 rue des perichaux;75015;2.29681175;48.83087879;137
1 rue des ursulines;75005;2.34270611;48.84255551;138
1 rue descartes;75005;2.348593;48.847466;139
1 rue du capitaine olchanski;75016;2.266018;48.849501;140
1 rue du cloitre notre dame;75004;2.3514898300000002;48.8527802;141
1 rue du jour;75001;2.34399693;48.86341875;142
1 rue du jourdain;75020;2.3893773;48.87392349;143
1 rue du mail;75002;2.34140889;48.86640709;144
1 rue du parvis de notre dame;75004;2.347729;48.854342;145
1 rue du pont louis philippe;75004;2.35519721;48.85476176;146
1 rue du rhin;75019;2.38107462;48.88526858;147
1 rue du sabot;75006;2.3314;48.852881;148
1 rue du tunnel;75019;2.38549289;48.87878327;149
1 rue dupont des loges;75007;2.30157774;48.85952923;150
1 rue edouard glissant;75020;2.41240554;48.85465968;151
1 rue etienne dolet;75020;2.38320984;48.86760003;152
1 rue eugene spuller;75003;2.36190824;48.86457718;153
1 rue faidherbe;75011;2.384172;48.850663;154
1 rue ferdinand gambon;75020;2.4073539999999998;48.853077;155
1 rue fleury;75018;2.35404649;48.88433776;156
1 rue frochot;75009;2.33753167;48.88112838;157
1 rue gabriel laumain;75010;2.35007689;48.87327884;158
1 rue gaston pinot;75019;2.39008631;48.8828571;159
1 rue jacob;75006;2.33666495;48.85450367;160
1 rue jean mace;75011;2.38440106;48.85276174;161
1 rue jose maria de heredia;75007;2.30713776;48.84838065;162
1 rue jouye rouve;75020;2.38277787;48.87321403;163
1 rue le regrattier;75004;2.35424401;48.85181065;164
1 rue le sueur;75116;2.28783345;48.87368581;165
1 rue leo delibes;75116;2.28916219;48.86649349;166
1 rue lord byron;75008;2.30143934;48.87311079;167
1 rue louis boilly;75016;2.26732327;48.85904022;168
1 rue maillard;75011;2.38535478;48.85800941;169
1 rue manin;75019;2.37910526;48.87657413;170
1 rue maurice utrillo;75018;2.34477212;48.88627709;171
1 rue mirabeau;75016;2.272921;48.847069;172
1 rue montgolfier;75003;2.35709977;48.86624974;173
1 rue montorgueil;75001;2.34620703;48.86331981;174
1 rue panhard;75013;2.359355;48.838779;175
