type_de_tournage;titre;societe_de_production;id_oeuvre
Série TV;04:04:02;sofilms;1
Série TV;10%;mon voisin;2
Long métrage;100 % coco;filming in france;3
Série TV;12 points;bande organisee studio;4
Long métrage;120 battements par minute;les films de pierre;5
Long métrage;2 fils;nord ouest films;6
Long métrage;2fils;nord ouest films;7
Série TV;3 fois noel;next episode;8
Long métrage;30 coins;lionceau films;9
Long métrage;30 jours max;axel films;10
Série TV;30 vies;fiction'air;11
Long métrage;355;lm 2018;12
Série Web;6d production;6d;13
Long métrage;8 rue de l'humanite;pathe prod exe;14
Série TV;9 meufs;mascaret films;15
Long métrage;a 2h de paris;vigo films;16
Long métrage;a casa tutti bene;la pupille;17
Long métrage;a d n;why not;18
Long métrage;a jamais fidele;hesiode;19
Téléfilm;a l'abordage;geko films;20
Téléfilm;a la folie;gm6;21
Série Web;a night in paris with pauline ranvier;phileas images;22
Long métrage;a nos ages;2425 films;23
Long métrage;a perfect enemy;the project film club;24
Téléfilm;a tes cotes;beaubourg stories;25
Long métrage;abbey road;peninsula film;26
Série Web;abonne-toi;studio bagel;27
Série TV;access;calt;28
Série TV;ad vitam;partner prod;29
Série Web;addict;shotgun;30
Série TV;additif dt_40626 astrid et raphaelle;jla-group;31
Long métrage;adieu monsieur haffmann;vendome films;32
Long métrage;ala vaikunthapurramlo;lm2018;33
Long métrage;alexandre;mandarin;34
Long métrage;alibi.com;fechner films;35
Série TV;alice in paris;rockzeline;36
Série Web;alice in paris;story tailors;37
Série Web;alice in paris;to do film;38
Série TV;alice nevers;ego;39
Série TV;alice nevers le juge est une femme;ego;40
Série TV;alice nevers, le juge est une femme;ego;41
Long métrage;all inclusive;estrella;42
Long métrage;allan kardec;nicocorp;43
Long métrage;amanda;nord-ouest films;44
Long métrage;amant double;mandarin films;45
Série Web;amazon tennis - paris masters 2019;img media limited;46
Long métrage;ami, ami;nord-ouest films;47
Long métrage;anak garuda;wl;48
Long métrage;andy;my family;49
Long métrage;anna m;europacorp;50
Long métrage;anna m.;europacorp;51
Long métrage;annee 2020;french lab;52
Long métrage;army of the dead meanwhile in germany;firstep;53
Série TV;arsene lupin;gaumont television;54
Série Web;arthur dans la foret;wondercorp;55
Long métrage;arthur rambo;les films de pierre;56
Série Web;articule,;tamara films;57
Téléfilm;astrid;jla-group;58
Série TV;astrid et raphaelle;jla-group;59
Long métrage;at eternity's gate;iconoclast films;60
Long métrage;au bout des doigts;recifilms;61
Long métrage;au nom de la terre;nord-ouest films;62
Long métrage;au poste;l'atelier de;63
Long métrage;au revoir la haut;adcb films;64
Téléfilm;au-dessus des nuages;jla-group;65
Long métrage;aurore tabort;kare;66
Long métrage;bad buzz;echo films;67
Long métrage;bad poems;les films du balibari;68
Série TV;balthazar;beaubourg stories;69
Série TV;balthazar 15 et 16;beaubourg stories;70
Téléfilm;balthazar 23 et 24;beaubourg stories;71
Série TV;balthazar 3,4 et 5;beaubourg stories;72
Série TV;balthazar 6;beaubourg stories;73
Série TV;balthazar 7,8;beaubourg stories;74
Série TV;balthazar 9,10;beaubourg stories;75
Long métrage;banlieusards;les films velvet;76
Long métrage;barbaque;cinefrance studios;77
Long métrage;barbara;waiting for cinema;78
Série Web;barber truck;wondercorp;79
Série TV;baron noir;kwai;80
Série TV;baron noir / deuxieme bloc;kwai;81
Long métrage;befikre;firstep;82
Téléfilm;belle belle belle;felicita films;83
Long métrage;belle fille;my family;84
Long métrage;belleville's cop;tessalit;85
Série Web;benefits, wellness, travel around the ayurveda in kerala;stink france;86
Série TV;ber;gem films;87
Long métrage;betes blondes;ecce films;88
Série Web;bicycle revolution;resistance films;89
Long métrage;bienvenue au gondwana;mandarin cinema;90
Long métrage;big bang;firelight;91
Téléfilm;biggie la faim de vivre;barjac;92
