id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2019-168;Jeanne Herry;257;5252;2019-02-15;2019-02-16
2019-169;Jeanne Herry;257;4553;2019-02-15;2019-02-15
2019-523;Laurent TUEL;588;3154;2019-05-24;2019-05-25
2019-528;Sylvie VERHEYDE;544;4498;2019-05-21;2019-05-21
2019-1449;Bruno Dumont;627;4252;2019-11-03;2019-11-03
2019-1450;Lise Akoka et Romane Gueret;795;1475;2019-10-23;2019-10-23
2018-800;Jeanne Balibar;569;5243;2018-07-10;2018-07-10
2018-817;Eric Meng;721;4080;2018-07-11;2018-07-11
2018-1516;Katia LEWKOWICZ;260;2389;2018-12-05;2018-12-06
2018-1519;Katia LEWKOWICZ;260;2576;2018-12-06;2018-12-08
2018-1544;Julien Rambaldi;107;59;2018-12-11;2018-12-11
2018-1551;Frederic Farrucci;410;3884;2018-12-12;2018-12-13
2019-478;Hervé HADMAR;698;2744;2019-04-30;2019-05-01
2019-480;ERIC JUDOR;650;208;2019-05-13;2019-05-13
2019-1477;Antoine GARCEAU - Marc FITOUSSI;204;4745;2019-11-07;2019-11-07
2018-858;Simon Bouisson;416;4966;2018-07-26;2018-07-26
2018-862;Simon Bouisson;416;1090;2018-07-27;2018-07-28
2018-1257;NICOLAS BEDOS;379;5471;2018-10-16;2018-10-17
2018-1273;CEDRIC KLAPISCH;198;4387;2018-10-26;2018-10-26
2019-235;Claus DREXLER;820;4228;2019-03-12;2019-03-12
2019-256;Philippe Garrel;460;3567;2019-03-09;2019-03-09
2019-537;Damien Chazelle;764;316;2019-05-24;2019-05-24
2019-1537;Christopher Thompson;756;2761;2019-11-18;2019-11-19
2018-917;Maïmouna Doucouré;505;2941;2018-08-06;2018-08-06
2019-187;Min-Ho Woo;499;585;2019-02-22;2019-02-22
2019-197;Tristan SEGUELA;206;556;2019-02-26;2019-02-27
2019-201;Danielle Arbid;637;1988;2019-02-26;2019-02-26
2019-217;Christophe Honoré;589;3691;2019-03-18;2019-03-18
2019-549;Damien Chazelle;764;219;2019-05-28;2019-05-29
2019-564;BERNARD STORA;847;3010;2019-06-04;2019-06-05
2019-566;Damien Chazelle;764;2862;2019-05-30;2019-05-30
2019-567;Damien Chazelle;764;4601;2019-05-31;2019-06-01
2019-587;LEO ZHANG;768;3439;2019-06-05;2019-06-05
2019-1552;Antoine GARCEAU - Marc FITOUSSI;204;4680;2019-11-19;2019-11-20
2019-1554;Jim Bagdonas;579;1880;2019-11-15;2019-11-15
2019-1567;julien ZIDI;39;3229;2019-11-16;2019-11-17
2019-1573;Frankie WALLACH;793;4153;2019-11-20;2019-11-20
2017-79;Emmanuel Gillibert;486;4953;2017-03-16;2017-03-16
2017-82;Emmanuel Gillibert;486;2654;2017-03-16;2017-03-16
2017-92;Cécilia Rouaud;91;4561;2017-03-22;2017-03-22
2017-95;Alexandra LECLERE;271;3154;2017-03-16;2017-03-16
2017-190;GERALDINE DE MARGERIE;530;135;2017-03-23;2017-03-24
2017-197;ALEXANDRA LECLERE;271;1393;2017-04-03;2017-04-03
2017-205;Alain Chabat;802;1428;2017-03-23;2017-03-24
2017-206;ZABOU BREITMAN;134;330;2017-03-22;2017-03-22
2017-232;Sergi Portabella;325;1060;2017-04-10;2017-04-10
2017-255;ALEXANDRA LECLERE;271;4170;2017-04-10;2017-04-10
2017-256;;802;1428;2017-03-29;2017-03-30
2017-127;ZABOU BREITMAN;131;3156;2017-03-14;2017-03-14
2017-5;ZABOU BREITMAN;131;2792;2017-02-13;2017-02-13
2017-21;Alain Chabat;802;4101;2017-02-28;2017-03-01
2017-39;Stéphane et David FOENKINOS;317;1826;2017-02-27;2017-02-27
2017-58;Franck Ribiere;390;1819;2017-03-09;2017-03-10
2017-308;Pape Amadou SY;682;1423;2017-04-19;2017-04-19
2017-317;ELEONORE POURRIAT;318;1092;2017-04-21;2017-04-21
2017-320;Thomas Lilti;660;4856;2017-05-11;2017-05-12
2017-335;Mikhael Hers;44;2528;2017-08-28;2017-08-28
2017-342;PHILIPPE HAREL;799;137;2017-09-05;2017-09-05
2017-344;MATTHEW WEINER;773;3055;2017-08-10;2017-08-11
2017-350;VIRGINIE SAUVEUR;463;4663;2017-08-31;2017-08-31
2017-351;VIRGINIE SAUVEUR;463;1039;2017-08-26;2017-08-26
2017-283;Richard Jobson;238;4011;2017-04-13;2017-04-13
2017-290;;802;4068;2017-04-13;2017-04-14
2017-154;Rachid Bouchareb;85;2960;2017-04-07;2017-04-07
2017-174;Zhang bo li et Wang chen Xi;719;1059;2017-03-20;2017-03-20
2017-515;MARIE-CASTILLE MENTION-SCHAAR;391;321;2017-09-19;2017-09-20
2017-530;Mathieu Sapin;454;4430;2017-09-19;2017-09-19
2017-533;Mabrouk el Mechri;607;2487;2017-09-18;2017-09-18
2017-537;Virginie Sauveur;463;48;2017-09-08;2017-09-08
2017-547;Antoine Chevrollier - Ziad Doueiri;80;530;2017-09-29;2017-09-29
2017-567;Mikhael Hers;44;2061;2017-09-23;2017-09-23
2017-434;Jonathan;742;5105;2017-08-27;2017-08-27
2017-658;Thierry Petit;334;3364;2017-10-11;2017-10-11
2017-673;Patrick Cassir;661;2222;2017-10-11;2017-10-12
2017-674;Patrick Cassir;661;2222;2017-10-11;2017-10-12
2017-399;Jeffrey Chiang;779;3824;2017-08-25;2017-08-26
2017-401;Jeffrey Chiang;779;201;2017-08-24;2017-08-25
2017-403;Jeffrey Chiang;779;1793;2017-08-23;2017-08-24
2017-410;Gabor Reisz;68;1499;2017-08-23;2017-08-23
2017-416;Gabor Reisz;68;66;2017-08-25;2017-08-25
2017-417;Kheiron;563;4166;2017-09-01;2017-09-01
2017-433;Jonathan;742;4452;2017-08-27;2017-08-27
2017-825;David Hourrègue;726;4059;2017-10-24;2017-10-24
2017-762;Zhou gao wu;214;4166;2017-10-31;2017-10-31
2017-780;Ken Biller;275;1593;2017-10-27;2017-10-27
2017-982;MARION LAINE;429;136;2017-11-29;2017-11-30
2017-1001;M. CHOY CHING SHING CLEMENT;598;3728;2017-11-23;2017-11-25
2017-1006;Nadav Lapid;746;2607;2017-12-05;2017-12-05
2017-1017;DAVID OELHOFFEN;757;1949;2017-12-07;2017-12-07
2017-1018;DAVID OELHOFFEN;757;91;2017-12-06;2017-12-06
2017-732;Stephen Woolfenden;852;4836;2017-10-12;2017-10-12
