id_lieu;fk_localisation;fk_periode
2019-168;5252;3769
2019-169;4553;3766
2019-523;3154;4032
2019-528;4498;4014
2019-1449;4252;4698
2019-1450;1475;4656
2018-800;5243;3094
2018-817;4080;3100
2018-1516;2389;3609
2018-1519;2576;3619
2018-1544;59;3634
2018-1551;3884;3646
2019-478;2744;3980
2019-480;208;3997
2019-1477;4745;4720
2018-858;4966;3142
2018-862;1090;3146
2018-1257;5471;3408
2018-1273;4387;3438
2019-235;4228;3837
2019-256;3567;3824
2019-537;316;4031
2019-1537;2761;4761
2018-917;2941;3175
2019-187;585;3790
2019-197;556;3799
2019-201;1988;3798
2019-217;3691;3862
2019-549;219;4041
2019-564;3010;4069
2019-566;2862;4045
2019-567;4601;4054
2019-587;3439;4071
2019-1552;4680;4770
2019-1554;1880;4751
2019-1567;3229;4754
2019-1573;4153;4776
2017-79;4953;1553
2017-82;2654;1553
2017-92;4561;1572
2017-95;3154;1551
2017-190;135;1583
2017-197;1393;1631
2017-205;1428;1584
2017-206;330;1573
2017-232;1060;1653
2017-255;4170;1651
2017-256;1428;1611
2017-127;3156;1542
2017-5;2792;1476
2017-21;4101;1509
2017-39;1826;1506
2017-58;1819;1531
2017-308;1423;1674
2017-317;1092;1679
2017-320;4856;1716
2017-335;2528;2072
2017-342;137;2115
2017-344;3055;2013
2017-350;4663;2097
2017-351;1039;2069
2017-283;4011;1664
2017-290;4068;1669
2017-154;2960;1643
2017-174;1059;1563
2017-515;321;2171
2017-530;4430;2168
2017-533;2487;2164
2017-537;48;2131
2017-547;530;2204
2017-567;2061;2184
2017-434;5105;2071
2017-658;3364;2259
2017-673;2222;2262
2017-674;2222;2262
2017-399;3824;2064
2017-401;201;2056
2017-403;1793;2046
2017-410;1499;2040
2017-416;66;2058
2017-417;4166;2105
2017-433;4452;2071
2017-825;4059;2321
2017-762;4166;2354
2017-780;1593;2342
2017-982;136;2487
2017-1001;3728;2453
2017-1006;2607;2508
2017-1017;1949;2516
2017-1018;91;2512
2017-732;4836;2265
2017-1193;4039;1726
2017-1097;4259;2538
2017-1106;645;2548
2017-1562;1572;1942
2017-935;4328;2433
2017-1237;215;1802
2017-1028;3735;2445
2017-1030;4144;2466
2017-1037;4039;2460
2017-1047;2583;2556
2017-1380;4758;1864
2017-1396;5362;1823
2017-1406;3672;1859
2017-1606;4307;2015
2017-1610;4337;2004
2017-1492;1373;2057
2017-1493;2478;2051
2017-1507;4324;2014
2017-1523;1915;1944
2017-1541;4933;1927
2017-1441;3976;1442
2017-1458;882;1916
2017-1313;4396;1793
2017-1332;4839;1808
2017-1344;5201;1946
2017-1689;4927;1430
2017-1714;1188;1468
2017-1740;419;1503
2017-1743;489;1471
2017-1469;2310;1893
2018-75;4623;2620
2018-76;1352;2615
2018-78;1194;2615
2018-97;4329;2630
2018-106;1699;2635
2018-111;3706;2648
2017-1567;4257;1918
2018-25;5064;2573
2018-36;3582;2580
2018-46;353;2591
2018-375;147;2815
2018-380;910;2931
2017-1644;5337;1977
2018-253;274;2704
2018-278;3423;2741
2018-279;1277;2730
2018-282;4193;2759
2018-313;2211;2727
2018-316;1072;2829
2018-19;727;2603
2018-156;2229;2672
2018-162;4144;2676
2018-171;242;2680
2018-389;382;2832
2018-392;3863;2865
2018-423;98;2821
2018-342;1836;2785
2018-349;295;2820
2018-369;5180;2831
2018-222;320;2739
2018-477;552;2857
2018-478;3559;2889
2018-496;3308;2885
2018-507;5108;2920
2018-328;4258;2776
2018-528;4680;2897
2018-538;4426;2881
2018-545;48;2934
2018-649;4138;2982
2018-656;2493;2994
2018-679;4123;3012
2018-682;1501;3035
2018-693;5123;3016
2018-464;1357;2883
2018-468;2265;2862
2019-1734;4367;4858
2019-1755;4367;4874
2018-588;2997;2962
2018-602;3491;2971
2018-614;4339;2993
2018-941;2366;3169
2018-946;4780;3190
2018-953;4370;3206
2018-958;1189;3221
2018-978;1279;3219
2018-1009;843;3251
2019-399;398;3933
2019-407;5057;3953
2019-749;3910;4183
2019-764;4390;4228
2018-1232;1742;3409
2019-896;681;4286
2019-1229;3119;4594
2019-785;992;4202
2019-809;4234;4214
2019-1156;108;4476
2018-1156;4436;3406
2018-1179;4769;3423
2019-840;851;4223
2019-1189;4994;4521
2019-1208;1769;4539
2019-1209;3340;4571
2019-1225;4087;4536
2018-1207;3221;3383
2019-670;3777;4173
2019-1033;4555;4415
2019-1235;5136;4562
2019-1256;4937;4555
2019-14;990;3686
2019-932;4112;4362
2019-938;2866;4327
2019-950;3716;4336
2019-986;4838;4407
2019-30;2614;3690
2019-1451;3435;4660
2019-34;1231;3681
2018-802;4166;3094
2019-36;1488;3676
2018-805;1602;3092
2019-66;2004;3705
2018-814;1504;3100
2019-1082;611;4426
2018-828;4781;3132
2019-1336;3685;4602
2018-1523;267;3580
2016-2293;4144;1129
2018-1548;2842;3644
2016-2318;1135;538
2018-1553;3446;3621
2016-2326;4668;1156
2019-466;452;4023
2016-2356;3361;333
2019-1471;4223;4688
2016-2360;5462;647
2019-1475;106;4720
2016-2365;4028;694
2019-1484;4681;4739
2020-847;5319;5502
2018-841;4774;3144
2020-849;3226;5463
2018-854;1623;3145
2020-874;908;5493
2018-933;3231;3215
2020-880;4150;5434
2018-1262;1273;3382
2016-814;4085;998
2018-1279;3483;3465
2016-821;4648;197
2019-238;640;3823
2016-835;3933;563
2019-259;4699;3850
2016-836;2513;1051
2019-1502;1909;4708
2016-843;4020;1198
2019-1503;4573;4708
2016-876;1662;1183
2019-1533;3938;4746
2016-2393;2562;1308
2018-908;4319;3187
2016-2398;4317;1422
2018-926;5179;3172
2016-2468;5036;980
2018-930;2670;3199
2016-2473;3296;1233
2019-582;2872;4079
2020-924;1055;5515
2019-1548;3674;4730
2020-927;823;5516
2019-1553;1496;4751
2020-940;5016;5521
2019-1559;146;4753
2016-906;1801;731
2019-1566;4684;4752
2016-924;3219;755
2019-1570;3855;4763
2016-936;3731;1065
2019-1578;962;4784
2016-980;4350;1404
2017-355;3027;2036
2016-987;704;141
2017-365;4261;2136
2016-994;1813;430
2017-367;3128;2050
2016-2493;4730;1010
2017-90;2751;1527
2016-2505;2573;338
2016-2582;3735;372
2016-2542;3729;1153
2016-2592;4677;654
2016-2552;4818;82
2016-2597;5321;1103
2016-2555;1848;443
2016-2609;4497;980
2016-2560;5301;1173
2016-2610;5447;1005
2016-2580;2499;252
2016-2617;519;796
2020-1001;3306;5537
2017-110;2694;2120
2020-1011;3796;5539
2017-123;4378;1560
2020-1028;3408;5539
2017-125;2040;1542
2020-1035;1519;5520
2017-184;4461;1647
2020-1048;2632;5577
2017-203;1389;1590
2020-1051;213;5571
2017-207;3443;1615
2016-2638;5128;625
2017-208;3334;1586
2016-2643;5110;639
2017-229;5429;1626
2016-2650;4028;522
2017-253;4044;1636
2016-2658;4504;356
2017-130;2055;1532
2016-1038;3869;900
2017-1;5357;1490
2016-1065;3806;70
2017-15;1946;1494
2020-1103;4723;5601
2017-41;3897;1500
2020-1108;5116;5601
2017-334;3980;2076
2016-1098;3232;934
2017-277;845;1646
2016-1121;4326;322
2017-280;2901;1663
2016-1134;3814;145
2017-144;2778;1612
2016-1135;2986;195
2017-175;2808;1588
2016-1148;4055;945
2017-517;3441;2197
2016-1182;3740;805
2017-539;2790;2167
2016-1183;4024;1025
2017-554;322;2192
2016-2679;2052;1172
2017-563;1598;2185
2016-2690;4607;12
2017-442;3823;2070
2016-2720;4126;160
2017-454;4391;2116
2016-2724;3450;289
2017-461;3786;2150
2016-2732;2241;1346
2017-635;950;2242
2016-2743;4851;158
2017-650;4139;2289
2016-2761;4842;1266
2017-415;563;2040
2016-1197;4438;562
2017-580;4150;2191
2016-1229;12;891
2017-589;751;2220
2016-1231;4283;1037
2017-827;658;2355
2016-1237;4191;47
2017-850;4439;2344
2020-7;3065;4912
2017-862;4062;2369
2020-55;2063;4941
2017-863;1136;2399
2016-1299;4150;440
2017-877;4298;2394
2016-1303;4188;681
2017-764;445;2341
2016-1308;1973;1136
2017-783;4458;2342
2016-1312;4459;1058
2017-790;5218;2539
2016-1315;1394;131
2017-792;4804;2520
2016-1339;402;814
2017-942;3039;2405
2016-1348;5372;550
2017-976;3050;2439
2016-1388;3929;1298
2017-990;3579;2524
2020-113;2829;5009
2017-998;1547;2449
2020-123;5253;4962
2017-702;4144;2233
2016-1391;4025;104
2017-706;3038;2316
2016-1392;4585;281
2017-728;5056;2330
2016-1395;5442;505
2017-750;5033;2266
2016-1400;4996;1266
2017-1192;3758;1784
2016-1401;13;891
2017-1197;3228;1782
2016-1405;5091;1037
2017-810;5254;2344
2016-1410;5445;410
2017-1061;4681;2489
2016-1417;2712;661
2017-1066;824;2486
2016-1442;795;525
2017-1068;2894;2505
2016-1468;3458;71
2017-1109;2347;2550
2020-139;1020;4992
2017-905;4953;2372
2020-143;3632;4975
2017-1162;1765;1740
2020-178;3135;4986
2017-1229;4892;1747
2020-196;2374;5030
2017-1027;3739;2445
2016-1503;3078;386
2017-1036;4226;2460
2016-1505;4023;645
2017-1054;1374;2442
2016-1566;3018;68
2017-1376;4098;1864
2020-219;4150;5031
2017-1603;248;2055
2020-239;4215;5048
2017-1491;3453;2057
2020-253;98;5049
2017-1504;2257;2014
2020-259;4475;5063
2017-1505;636;2014
2020-280;991;5067
2017-1455;1250;1888
2020-286;1925;5075
2017-1303;4180;1780
2016-13;4014;266
2017-1315;4646;1706
2016-36;2300;1379
2017-1339;4370;1949
2016-43;4129;63
2017-1349;4294;1946
2016-49;4145;668
2017-1680;143;1429
2016-69;3781;78
2017-1704;1802;1469
