type_de_tournage;titre;fk_societe_prod;id_oeuvre
Série TV;04:04:02;416;1
Série TV;10%;314;2
Long métrage;100 % coco;157;3
Série TV;12 points;51;4
Long métrage;120 battements par minute;248;5
Long métrage;2 fils;334;6
Long métrage;2fils;334;7
Série TV;3 fois noel;329;8
Long métrage;30 coins;274;9
Long métrage;30 jours max;48;10
Série TV;30 vies;154;11
Long métrage;355;276;12
Série Web;6d production;14;13
Long métrage;8 rue de l'humanite;356;14
Série TV;9 meufs;299;15
Long métrage;a 2h de paris;466;16
Long métrage;a casa tutti bene;230;17
Long métrage;a d n;476;18
Long métrage;a jamais fidele;182;19
Téléfilm;a l'abordage;172;20
Téléfilm;a la folie;175;21
Série Web;a night in paris with pauline ranvier;364;22
Long métrage;a nos ages;6;23
Long métrage;a perfect enemy;449;24
Téléfilm;a tes cotes;58;25
Long métrage;abbey road;360;26
Série Web;abonne-toi;428;27
Série TV;access;75;28
Série TV;ad vitam;354;29
Série Web;addict;410;30
Série TV;additif dt_40626 astrid et raphaelle;203;31
Long métrage;adieu monsieur haffmann;464;32
Long métrage;ala vaikunthapurramlo;277;33
Long métrage;alexandre;291;34
Long métrage;alibi.com;151;35
Série TV;alice in paris;393;36
Série Web;alice in paris;426;37
Série Web;alice in paris;452;38
Série TV;alice nevers;127;39
Série TV;alice nevers le juge est une femme;127;40
Série TV;alice nevers, le juge est une femme;127;41
Long métrage;all inclusive;143;42
Long métrage;allan kardec;330;43
Long métrage;amanda;335;44
Long métrage;amant double;293;45
Série Web;amazon tennis - paris masters 2019;192;46
Long métrage;ami, ami;335;47
Long métrage;anak garuda;478;48
Long métrage;andy;324;49
Long métrage;anna m;144;50
Long métrage;anna m.;144;51
Long métrage;annee 2020;162;52
Long métrage;army of the dead meanwhile in germany;159;53
Série TV;arsene lupin;169;54
Série Web;arthur dans la foret;480;55
Long métrage;arthur rambo;248;56
Série Web;articule,;439;57
Téléfilm;astrid;203;58
Série TV;astrid et raphaelle;203;59
Long métrage;at eternity's gate;186;60
Long métrage;au bout des doigts;388;61
Long métrage;au nom de la terre;335;62
Long métrage;au poste;224;63
Long métrage;au revoir la haut;18;64
Téléfilm;au-dessus des nuages;203;65
Long métrage;aurore tabort;213;66
Long métrage;bad buzz;125;67
Long métrage;bad poems;251;68
Série TV;balthazar;58;69
Série TV;balthazar 15 et 16;58;70
Téléfilm;balthazar 23 et 24;58;71
Série TV;balthazar 3,4 et 5;58;72
Série TV;balthazar 6;58;73
Série TV;balthazar 7,8;58;74
Série TV;balthazar 9,10;58;75
