date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-01-04;2016-01-07;611;gullaume gallienne;1
2016-01-05;2016-01-05;602;manuel boursinhac;2
2016-01-06;2016-01-06;41;j christophe delpias;3
2016-01-06;2016-01-06;552;marc fitoussi;4
2016-01-06;2016-01-06;602;manuel boursinhac;5
2016-01-07;2016-01-07;41;j christophe delpias;6
2016-01-07;2016-01-07;602;manuel boursinhac;7
2016-01-07;2016-01-07;625;antonio negret;8
2016-01-07;2016-01-08;552;marc fitoussi;9
2016-01-08;2016-01-09;602;manuel boursinhac;10
2016-01-09;2016-01-09;433;eric rochant;11
2016-01-09;2016-01-09;602;manuel boursinhac;12
2016-01-10;2016-01-10;16;virginie verrier;13
2016-01-11;2016-01-12;602;manuel boursinhac;14
2016-01-12;2016-01-12;41;j christophe delpias;15
2016-01-12;2016-01-12;552;marc fitoussi;16
2016-01-13;2016-01-13;41;j christophe delpias;17
2016-01-13;2016-01-13;433;eric rochant;18
2016-01-13;2016-01-14;602;manuel boursinhac;19
2016-01-13;2016-01-15;552;marc fitoussi;20
2016-01-14;2016-01-14;433;eric rochant;21
2016-01-15;2016-01-15;199;ozgur yildiz;22
2016-01-15;2016-01-15;433;eric rochant;23
2016-01-15;2016-01-15;602;manuel boursinhac;24
2016-01-16;2016-01-16;199;ozgur yildiz;25
2016-01-17;2016-01-17;199;ozgur yildiz;26
2016-01-18;2016-01-18;199;ozgur yildiz;27
2016-01-18;2016-01-18;433;eric rochant;28
2016-01-18;2016-01-18;476;eric lavaine;29
2016-01-18;2016-01-18;552;marc fitoussi;30
2016-01-18;2016-01-19;41;j christophe delpias;31
2016-01-19;2016-01-19;393;emmanuelle bercot;32
2016-01-19;2016-01-19;433;eric rochant;33
2016-01-20;2016-01-20;241;vincent jamain;34
2016-01-20;2016-01-20;250;theodore bonnet;35
2016-01-20;2016-01-20;393;emmanuelle bercot;36
2016-01-20;2016-01-20;433;eric rochant;37
2016-01-20;2016-01-21;552;marc fitoussi;38
2016-01-21;2016-01-22;585;nicolas bedos;39
2016-01-22;2016-01-22;250;theodore bonnet;40
2016-01-22;2016-01-22;393;emmanuelle bercot;41
2016-01-23;2016-01-23;393;emmanuelle bercot;42
2016-01-25;2016-01-29;585;nicolas bedos;43
2016-01-26;2016-01-26;498;fred garson;44
2016-01-28;2016-01-28;308;jalil lespert;45
2016-01-29;2016-01-29;308;jalil lespert;46
2016-01-29;2016-01-29;498;fred garson;47
2016-01-30;2016-01-30;498;fred garson;48
2016-01-30;2016-01-30;856;david michod;49
2016-01-31;2016-01-31;856;david michod;50
2016-02-01;2016-02-01;308;jalil lespert;51
2016-02-01;2016-02-01;393;emmanuelle bercot;52
2016-02-01;2016-02-01;585;nicolas bedos;53
2016-02-01;2016-02-01;667;alexandre laurent;54
