nom;id_societe_prod
 service;1
1015;2
2.4.7.films;3
22h22;4
24 25 films;5
2425 films;6
2425 ing;7
247 films;8
31 juin films;9
3b;10
3eme oeil story;11
4 mecs en baskets;12
6 com;13
6d;14
abeille films;15
acort;16
ad vitam;17
adcb films;18
adnp;19
adnp quad films;20
adnp sas quad;21
adrenaline;22
aed;23
agat films;24
agat films et cie;25
albertine;26
alcatraz films;27
alexandre films;28
all so;29
alter films;30
ama;31
and so on;32
angele fine;33
ango , departement de feniprod;34
apsara films;35
archipel35;36
arena films;37
arprod;38
art 2 voir;39
artous;40
astharte et compagnie;41
atelier de;42
atlantique;43
aurora films;44
auteurs associes;45
authentic prod;46
avenue b;47
axel films;48
b2films;49
bagan films;50
bande organisee studio;51
banguni;52
banijay studios france;53
barbary films;54
barjac;55
bayoo;56
beaubourg audiovisuel;57
beaubourg stories;58
belle epoque films;59
bethsabee mucho;60
bh paris media;61
bien ou bien;62
big band story;63
blackvision;64
blagbuster;65
blink films;66
bliss;67
blue monday;68
bonne pioche cinema;69
boxeur 7;70
brio films;71
c.s.;72
cactus films;73
cadence paris;74
calt;75
camarilla;76
caminando;77
capa drama;78
capa series;79
capricci;80
capture the flag films;81
carrefour des collectivites locales;82
carson;83
ce qui me meut;84
cg cinema;85
chabraque;86
chapter 2;87
charlotte russe films;88
chaz;89
chi fou mi;90
chifoumi;91
christmas in july;92
cine @;93
cine france studios;94
cine-@;95
cinefrance studios;96
cineteve;97
citizen;98
clcf;99
cmp movies;100
coco and co prod;101
comme des cinemas;102
comme une image;103
coopetic;104
cosmic train pictures;105
cottonwood media;106
cpb films;107
culture univers;108
curiosa;109
curiosa film;110
curiosa films;111
day for night;112
de l'autre cote du du periph;113
delante;114
delante films;115
demd;116
dharamsala;117
diaphana films;118
dorothee perez;119
dream on;120
easy movies;121
easy tiger;122
eaux vives;123
ecce films;124
echo films;125
effervescence fiction;126
ego;127
electron libre;128
elephant story;129
eliph;130
eloa prod;131
elodie faure boulue;132
elzevir films;133
empreinte cinema;134
empreinte digitale;135
empreinte digitale marianne;136
endemolshine;137
epithete films;138
escargot;139
escazal films;140
eskwad;141
esra;142
estrella;143
europacorp;144
europe film and tv co;145
everybody on deck;146
evs;147
ex nihilo;148
f comme film;149
fablabchannel;150
fechner films;151
federation entertainment;152
felicita films;153
fiction'air;154
film;155
film invaders;156
filming in france;157
firelight;158
firstep;159
forecast pictures;160
free dolphin;161
french lab;162
froggie;163
fulldawa;164
fulltimestudio;165
funny balloons;166
gaumont;167
gaumont c;168
gaumont television;169
gaumont tv;170
gazelle et cie;171
geko films;172
gem films;173
geteve;174
gm6;175
gmt;176
golden network;177
hanna films;178
haut et court;179
haut et court tv;180
haut les mains;181
hesiode;182
hickling and allen films;183
hippocampe;184
ici et la;185
iconoclast films;186
idz;187
iefs paris;188
ifilmfrance;189
iliade et films;190
image et compagnie;191
img media limited;192
in vivo films;193
incognita;194
incognita films;195
incognita television;196
iscpa paris;197
j2f;198
jem;199
jerico films;200
jet films;201
jet films paris;202
jla-group;203
jpg films;204
kabo;205
kabo family;206
kabo films;207
kabotine;208
kafard film;209
kafard films;210
kaliste;211
kanzaman france;212
kare;213
kazak;214
keystone films;215
kg;216
kinescope film gmbh;217
km;218
kmbo;219
koi films;220
komedia france;221
koro film;222
kwai;223
l'atelier de;224
la femis;225
la generale de;226
la meridienne;227
la onda;228
la petite reine;229
la pupille;230
la ruche;231
