fk_localisation;fk_periode
1;1134
2;1130
2;1138
3;1153
4;1153
5;1255
6;958
7;904
8;1069
8;1086
9;161
10;1130
11;891
12;891
13;891
14;877
15;891
16;496
17;4575
18;2839
19;2108
19;2585
19;3518
20;5303
21;5593
22;3160
22;5287
23;4294
24;3056
25;5176
26;2924
27;2213
28;4871
29;3271
30;3509
31;3927
32;2160
32;4142
33;1650
34;5478
35;2684
36;2370
37;1838
37;5581
38;2824
39;4043
40;3531
41;643
42;3351
43;1063
43;1526
43;5574
44;3020
44;4261
45;2194
46;4569
47;516
47;960
48;1609
48;1982
48;2131
48;2687
48;2691
48;2934
48;5357
49;5182
50;2716
51;1680
52;5599
53;4733
54;4736
55;3565
56;2122
56;3474
56;4448
56;4458
56;4477
56;4484
56;4494
56;4512
56;4516
56;4954
56;5045
56;5065
56;5071
57;5223
58;4971
59;3634
60;19
60;4404
60;4406
60;4412
60;4445
60;4455
60;4576
60;4582
60;4587
60;4721
61;1987
62;4368
62;4791
63;1435
64;1953
65;3535
66;2058
67;5194
68;933
69;4479
70;2643
70;2850
71;3278
72;715
72;5372
73;2516
74;2574
74;4369
75;44
76;806
77;1002
78;4518
79;1467
80;5131
81;3663
82;4436
83;5085
84;1184
84;1933
85;964
86;1933
86;3822
87;4109
88;3230
89;4217
91;2509
91;2512
91;2516
92;2351
93;1187
94;2222
95;5051
95;5052
96;5292
97;468
98;1575
98;1667
98;2643
98;2821
98;3253
98;3285
98;3396
98;3952
98;4229
98;5049
98;5226
98;5285
98;5460
99;5307
100;1484
101;2032
102;4446
103;4944
104;3209
105;1561
106;4720
107;5394
108;1239
108;4476
109;2016
110;4353
110;4371
110;4383
110;4391
110;4396
111;788
112;5481
113;564
113;1242
114;2677
115;2618
115;3326
116;3175
117;4963
118;2093
118;2101
119;2682
119;5168
120;3655
121;1679
122;3294
123;795
124;4219
125;4542
126;2588
127;5560
128;2387
129;535
130;945
130;954
131;1056
131;2387
131;2393
131;3567
132;894
133;3662
134;3788
135;1583
136;2464
136;2474
136;2487
136;2492
137;2115
138;5523
139;1107
139;1133
139;1146
139;1154
140;376
141;2027
142;2878
143;1429
143;2224
143;4135
143;4196
143;4312
144;5145
145;1360
146;3231
146;4226
146;4753
147;2815
148;1018
148;3543
148;4882
149;2818
150;4256
151;4558
152;4855
153;5108
154;1405
155;572
156;2040
157;1536
158;3429
159;3817
160;1547
161;3727
162;4046
162;5151
163;2103
164;2985
165;4446
166;5418
166;5419
166;5426
167;1847
168;2059
168;3756
168;3776
168;3792
169;4820
169;5010
170;2999
171;3017
172;279
173;1962
174;3768
175;603
176;2329
177;2378
178;1794
179;4507
180;2660
181;5314
182;261
182;1238
182;1371
182;1492
182;3140
182;4221
182;5506
183;636
184;1135
185;4298
186;3393
187;608
187;612
188;1912
188;1920
189;2959
190;4314
191;2664
192;2073
192;3738
193;5578
194;4936
195;3110
196;2119
197;2506
198;1160
199;1087
200;336
201;2056
201;2581
202;1775
202;4146
203;5307
204;1677
205;2553
206;3283
207;1795
207;2912
208;3997
209;1345
210;1027
211;5015
212;3503
213;5571
214;4750
215;1802
216;239
216;1325
217;1885
218;5400
219;4041
221;4425
222;1178
223;1816
224;973
225;2292
226;2225
226;2232
227;1278
228;1484
228;3785
229;1283
230;21
231;743
232;3210
233;5083
234;916
235;2489
235;3686
236;3135
236;3141
237;2337
238;3361
239;935
240;1825
241;1210
242;2680
242;3105
243;1333
244;250
244;1140
245;889
246;1581
247;5413
247;5442
248;2055
249;3137
250;3976
251;950
251;1659
251;2786
252;2913
253;3512
254;4246
255;1003
256;2416
257;2231
258;1027
259;2224
260;723
260;1212
261;2938
262;4794
262;4828
262;4835
262;4861
263;662
264;3925
265;4061
266;4012
267;3580
268;1487
268;2333
269;3126
270;2332
271;5434
272;4611
273;1405
274;2704
275;3942
276;3818
277;5351
278;2916
279;2655
280;2274
280;2936
281;2752
282;5509
283;3991
284;1037
284;4934
285;502
286;3525
287;4253
288;4897
289;5028
289;5030
290;2498
291;5421
292;445
293;3639
294;4852
295;2820
296;5394
297;3505
298;1790
299;698
299;1960
299;1967
299;2458
300;921
301;417
301;434
302;3015
302;5455
303;3751
304;5335
305;3599
305;5359
306;52
306;65
307;459
308;4076
308;4102
308;4116
309;1825
310;2396
311;4532
312;5474
313;84
314;1136
315;5366
316;4031
316;4344
317;1746
318;3235
319;4648
320;2739
321;2162
321;2171
321;4831
322;79
322;257
322;2192
323;4545
324;2283
325;3650
326;5472
327;682
328;3560
329;4961
330;1573
331;760
332;3567
333;2894
334;2014
335;2995
336;5335
337;2355
338;5115
339;3888
340;2246
340;2549
340;2552
340;2595
340;3836
341;156
342;5264
343;1421
344;632
344;2790
344;3419
344;3971
344;5190
345;28
346;953
347;4334
348;2413
349;2212
349;2435
350;208
351;1515
352;2523
352;4244
353;2591
353;5371
353;5383
353;5437
354;1130
355;1585
356;672
357;3978
358;1210
358;1215
358;1225
358;1239
359;1492
360;3767
360;3850
361;1522
361;2962
362;4201
363;2537
364;4205
365;1178
366;1492
367;2740
368;4136
369;5290
370;4994
371;1256
372;748
372;773
373;1819
374;2081
374;2091
374;2098
375;4979
376;4214
377;5118
378;5336
379;1614
380;1898
381;1079
382;2459
382;2714
382;2832
382;3893
382;4375
382;5513
383;3258
384;4821
385;88
385;400
386;192
387;2637
387;4837
388;3317
388;3332
388;3333
389;3501
389;3533
390;2268
391;4099
392;2573
393;2692
394;1256
395;5548
396;5098
397;3666
398;3933
399;3838
400;4378
401;1673
402;814
403;1580
404;4239
405;5262
406;2075
406;2227
407;4301
408;3159
409;5105
410;2331
410;4988
411;536
411;751
411;1414
411;5202
412;4214
413;3419
414;424
415;438
415;457
416;4292
417;3871
417;3874
417;4877
418;878
418;5112
419;1503
420;5172
421;2640
422;425
422;430
423;2039
424;4552
425;4136
426;5150
427;4614
427;5124
427;5494
428;1979
428;2377
429;3262
430;441
431;504
432;5427
433;341
434;1293
435;1989
436;365
437;285
438;4775
439;3440
440;4922
441;2341
441;4769
442;2702
442;2779
443;4965
444;2221
445;2341
446;4642
447;1054
448;2074
448;2107
449;2169
450;1189
451;441
452;4023
453;2781
453;4950
454;1819
455;3622
456;4637
457;4609
458;363
459;3971
460;4727
461;478
462;32
462;298
462;4672
462;5306
463;1252
464;11
465;4679
466;1847
467;2354
468;655
469;28
470;1081
471;2032
472;5311
473;4064
474;971
475;3116
476;2980
477;2572
477;3426
477;3430
477;3675
477;4478
477;4899
478;4592
479;3451
480;4513
480;4911
480;5005
480;5110
480;5522
481;3138
481;3338
482;265
482;274
483;227
484;670
485;3757
486;3321
487;865
488;1523
489;202
489;207
489;223
489;1471
489;2690
489;2696
489;2906
489;2951
489;3437
489;4842
489;4935
489;4953
489;5408
490;452
491;1062
492;2149
493;472
494;4441
495;2944
496;1072
497;540
497;545
497;553
497;565
498;3860
499;611
499;1245
499;1349
499;1587
499;1641
499;3124
499;3803
499;4373
500;2345
501;322
502;1610
503;141
504;4782
505;3247
506;184
