date_de_debut;date_de_fin;fk_oeuvre;fk_realisateur_ice;id_periode
2016-01-04;2016-01-07;611;297;1
2016-01-05;2016-01-05;602;446;2
2016-01-06;2016-01-06;41;316;3
2016-01-06;2016-01-06;552;451;4
2016-01-06;2016-01-06;602;446;5
2016-01-07;2016-01-07;41;316;6
2016-01-07;2016-01-07;602;446;7
2016-01-07;2016-01-07;625;54;8
2016-01-07;2016-01-08;552;451;9
2016-01-08;2016-01-09;602;446;10
2016-01-09;2016-01-09;433;214;11
2016-01-09;2016-01-09;602;446;12
2016-01-10;2016-01-10;16;732;13
2016-01-11;2016-01-12;602;446;14
2016-01-12;2016-01-12;41;316;15
2016-01-12;2016-01-12;552;451;16
2016-01-13;2016-01-13;41;316;17
2016-01-13;2016-01-13;433;214;18
2016-01-13;2016-01-14;602;446;19
2016-01-13;2016-01-15;552;451;20
2016-01-14;2016-01-14;433;214;21
2016-01-15;2016-01-15;199;569;22
2016-01-15;2016-01-15;433;214;23
2016-01-15;2016-01-15;602;446;24
2016-01-16;2016-01-16;199;569;25
2016-01-17;2016-01-17;199;569;26
2016-01-18;2016-01-18;199;569;27
2016-01-18;2016-01-18;433;214;28
2016-01-18;2016-01-18;476;211;29
2016-01-18;2016-01-18;552;451;30
2016-01-18;2016-01-19;41;316;31
2016-01-19;2016-01-19;393;205;32
2016-01-19;2016-01-19;433;214;33
2016-01-20;2016-01-20;241;725;34
2016-01-20;2016-01-20;250;696;35
2016-01-20;2016-01-20;393;205;36
2016-01-20;2016-01-20;433;214;37
2016-01-20;2016-01-21;552;451;38
2016-01-21;2016-01-22;585;534;39
2016-01-22;2016-01-22;250;696;40
2016-01-22;2016-01-22;393;205;41
2016-01-23;2016-01-23;393;205;42
2016-01-25;2016-01-29;585;534;43
2016-01-26;2016-01-26;498;258;44
2016-01-28;2016-01-28;308;320;45
2016-01-29;2016-01-29;308;320;46
2016-01-29;2016-01-29;498;258;47
2016-01-30;2016-01-30;498;258;48
2016-01-30;2016-01-30;856;158;49
2016-01-31;2016-01-31;856;158;50
2016-02-01;2016-02-01;308;320;51
2016-02-01;2016-02-01;393;205;52
2016-02-01;2016-02-01;585;534;53
2016-02-01;2016-02-01;667;20;54
2016-02-01;2016-02-01;718;66;55
2016-02-02;2016-02-02;241;725;56
2016-02-02;2016-02-02;308;320;57
2016-02-02;2016-02-02;585;534;58
2016-02-03;2016-02-03;308;320;59
2016-02-03;2016-02-03;585;534;60
2016-02-03;2016-02-04;498;258;61
2016-02-03;2016-02-05;308;320;62
2016-02-03;2016-02-05;393;205;63
2016-02-04;2016-02-04;585;534;64
2016-02-05;2016-02-05;393;205;65
2016-02-05;2016-02-05;476;211;66
2016-02-05;2016-02-05;498;258;67
2016-02-05;2016-02-05;667;20;68
2016-02-08;2016-02-08;175;416;69
2016-02-08;2016-02-08;300;430;70
2016-02-08;2016-02-08;308;320;71
2016-02-08;2016-02-08;328;413;72
2016-02-08;2016-02-12;308;320;73
2016-02-09;2016-02-09;175;416;74
2016-02-09;2016-02-09;300;430;75
2016-02-09;2016-02-09;498;258;76
2016-02-09;2016-02-09;585;534;77
2016-02-09;2016-02-09;636;415;78
2016-02-09;2016-02-12;498;258;79
2016-02-10;2016-02-10;300;430;80
2016-02-10;2016-02-10;636;415;81
2016-02-11;2016-02-11;328;413;82
2016-02-11;2016-02-11;636;415;83
2016-02-11;2016-02-11;841;466;84
2016-02-12;2016-02-12;223;23;85
2016-02-12;2016-02-12;308;320;86
2016-02-12;2016-02-12;498;258;87
2016-02-12;2016-02-12;506;140;88
2016-02-12;2016-02-12;572;574;89
2016-02-12;2016-02-12;841;466;90
2016-02-13;2016-02-13;498;258;91
2016-02-13;2016-02-13;572;574;92
2016-02-13;2016-02-13;636;415;93
2016-02-15;2016-02-15;273;291;94
2016-02-15;2016-02-15;300;430;95
2016-02-15;2016-02-15;308;320;96
2016-02-15;2016-02-15;572;574;97
2016-02-15;2016-02-15;667;20;98
2016-02-15;2016-02-15;841;466;99
2016-02-15;2016-02-16;328;413;100
2016-02-15;2016-02-17;110;393;101
2016-02-16;2016-02-16;223;23;102
2016-02-16;2016-02-16;273;291;103
2016-02-16;2016-02-16;469;137;104
2016-02-16;2016-02-16;572;574;105
2016-02-16;2016-02-16;667;20;106
2016-02-16;2016-02-16;718;66;107
2016-02-16;2016-02-17;308;320;108
2016-02-16;2016-02-19;498;258;109
2016-02-17;2016-02-17;273;291;110
2016-02-17;2016-02-17;469;137;111
2016-02-17;2016-02-17;513;99;112
2016-02-17;2016-02-17;585;534;113
2016-02-17;2016-02-17;718;66;114
2016-02-18;2016-02-18;110;393;115
2016-02-18;2016-02-18;273;291;116
2016-02-18;2016-02-18;308;320;117
2016-02-18;2016-02-18;328;413;118
2016-02-18;2016-02-18;718;66;119
2016-02-18;2016-02-19;273;291;120
2016-02-18;2016-02-19;585;534;121
2016-02-19;2016-02-19;110;393;122
2016-02-19;2016-02-19;223;23;123
2016-02-19;2016-02-19;273;291;124
2016-02-19;2016-02-19;328;413;125
2016-02-19;2016-02-19;498;258;126
2016-02-19;2016-02-19;636;415;127
2016-02-19;2016-02-19;718;66;128
2016-02-22;2016-02-22;110;393;129
2016-02-22;2016-02-22;328;413;130
2016-02-22;2016-02-22;498;258;131
2016-02-22;2016-02-22;636;415;132
2016-02-22;2016-02-23;175;416;133
2016-02-22;2016-02-23;273;291;134
2016-02-22;2016-02-25;308;320;135
2016-02-22;2016-02-26;189;554;136
2016-02-23;2016-02-23;273;291;137
2016-02-23;2016-02-23;328;413;138
2016-02-23;2016-02-23;408;100;139
2016-02-23;2016-02-23;636;415;140
2016-02-23;2016-02-23;718;66;141
2016-02-23;2016-02-24;41;380;142
2016-02-24;2016-02-24;41;380;143
2016-02-24;2016-02-24;175;416;144
2016-02-24;2016-02-24;273;291;145
2016-02-24;2016-02-24;328;413;146
2016-02-24;2016-02-24;585;534;147
2016-02-24;2016-02-24;718;66;148
2016-02-24;2016-02-25;636;415;149
2016-02-24;2016-02-26;205;222;150
2016-02-25;2016-02-25;82;3;151
2016-02-25;2016-02-25;273;291;152
2016-02-25;2016-02-25;308;320;153
2016-02-25;2016-02-25;359;432;154
2016-02-26;2016-02-26;82;3;155
2016-02-26;2016-02-26;223;23;156
2016-02-26;2016-02-26;273;291;157
2016-02-26;2016-02-26;308;320;158
2016-02-26;2016-02-26;328;413;159
2016-02-26;2016-02-26;359;432;160
2016-02-29;2016-02-29;41;380;161
2016-02-29;2016-02-29;189;554;162
2016-02-29;2016-02-29;205;222;163
2016-02-29;2016-02-29;273;291;164
2016-02-29;2016-02-29;308;320;165
2016-02-29;2016-02-29;625;54;166
2016-02-29;2016-03-01;585;534;167
2016-03-01;2016-03-01;36;697;168
2016-03-01;2016-03-01;41;380;169
2016-03-01;2016-03-01;205;222;170
2016-03-01;2016-03-01;273;291;171
2016-03-01;2016-03-01;308;320;172
2016-03-01;2016-03-01;585;534;173
2016-03-01;2016-03-01;625;54;174
2016-03-01;2016-03-03;308;320;175
2016-03-01;2016-03-04;189;554;176
2016-03-01;2016-03-05;189;554;177
2016-03-02;2016-03-02;189;554;178
2016-03-02;2016-03-02;205;222;179
2016-03-02;2016-03-02;273;291;180
2016-03-02;2016-03-02;347;751;181
2016-03-02;2016-03-02;359;432;182
2016-03-02;2016-03-02;585;534;183
2016-03-02;2016-03-03;166;541;184
2016-03-02;2016-03-03;347;751;185
2016-03-03;2016-03-03;205;222;186
2016-03-03;2016-03-03;273;291;187
2016-03-03;2016-03-03;308;320;188
2016-03-03;2016-03-03;347;751;189
2016-03-04;2016-03-04;36;697;190
2016-03-04;2016-03-04;166;541;191
2016-03-04;2016-03-04;175;416;192
2016-03-04;2016-03-04;205;222;193
2016-03-04;2016-03-04;273;291;194
2016-03-04;2016-03-04;308;320;195
2016-03-04;2016-03-04;328;413;196
2016-03-04;2016-03-04;347;751;197
2016-03-04;2016-03-04;408;100;198
2016-03-04;2016-03-04;585;534;199
2016-03-05;2016-03-05;36;697;200
2016-03-05;2016-03-05;189;554;201
2016-03-05;2016-03-05;347;751;202
2016-03-06;2016-03-06;804;303;203
2016-03-07;2016-03-07;110;393;204
2016-03-07;2016-03-07;166;541;205
2016-03-07;2016-03-07;347;751;206
2016-03-07;2016-03-07;584;266;207
2016-03-07;2016-03-07;623;749;208
2016-03-07;2016-03-08;273;291;209
2016-03-08;2016-03-08;110;393;210
2016-03-08;2016-03-08;166;541;211
2016-03-08;2016-03-08;175;416;212
2016-03-08;2016-03-08;273;291;213
2016-03-08;2016-03-08;308;320;214
2016-03-08;2016-03-08;584;266;215
2016-03-08;2016-03-08;585;534;216
2016-03-08;2016-03-08;623;749;217
2016-03-08;2016-03-09;718;66;218
2016-03-09;2016-03-09;110;393;219
2016-03-09;2016-03-09;166;541;220
2016-03-09;2016-03-09;175;416;221
2016-03-09;2016-03-09;273;291;222
2016-03-09;2016-03-09;584;266;223
2016-03-09;2016-03-10;468;655;224
2016-03-09;2016-03-10;623;749;225
2016-03-10;2016-03-10;110;393;226
2016-03-10;2016-03-10;273;291;227
2016-03-10;2016-03-10;308;320;228
2016-03-10;2016-03-10;468;655;229
2016-03-10;2016-03-10;718;66;230
2016-03-10;2016-03-11;273;291;231
2016-03-11;2016-03-11;110;393;232
2016-03-11;2016-03-11;558;583;233
2016-03-11;2016-03-11;623;749;234
2016-03-11;2016-03-11;667;108;235
2016-03-11;2016-03-12;233;284;236
2016-03-12;2016-03-12;64;10;237
2016-03-12;2016-03-12;166;541;238
2016-03-12;2016-03-12;233;284;239
2016-03-12;2016-03-12;623;749;240
2016-03-13;2016-03-13;623;749;241
2016-03-14;2016-03-14;110;393;242
2016-03-14;2016-03-14;189;554;243
2016-03-14;2016-03-14;273;291;244
2016-03-14;2016-03-14;468;655;245
2016-03-14;2016-03-14;584;266;246
2016-03-14;2016-03-14;623;749;247
2016-03-15;2016-03-15;110;393;248
2016-03-15;2016-03-15;166;541;249
2016-03-15;2016-03-15;273;291;250
2016-03-15;2016-03-15;340;324;251
2016-03-15;2016-03-15;584;266;252
2016-03-15;2016-03-16;127;60;253
2016-03-15;2016-03-18;64;10;254
2016-03-16;2016-03-16;127;60;255
2016-03-16;2016-03-16;166;541;256
2016-03-16;2016-03-16;175;416;257
2016-03-16;2016-03-16;189;554;258
2016-03-16;2016-03-16;273;291;259
2016-03-16;2016-03-16;340;324;260
2016-03-16;2016-03-16;584;266;261
2016-03-16;2016-03-16;714;159;262
2016-03-16;2016-03-17;110;393;263
2016-03-17;2016-03-17;127;60;264
2016-03-17;2016-03-17;175;416;265
2016-03-17;2016-03-17;189;554;266
2016-03-17;2016-03-17;273;291;267
2016-03-17;2016-03-17;468;655;268
2016-03-17;2016-03-17;584;266;269
2016-03-17;2016-03-18;584;266;270
2016-03-18;2016-03-18;64;10;271
2016-03-18;2016-03-18;110;393;272
2016-03-18;2016-03-18;127;60;273
2016-03-18;2016-03-18;175;416;274
2016-03-18;2016-03-18;189;554;275
2016-03-18;2016-03-18;718;66;276
2016-03-19;2016-03-19;64;10;277
2016-03-21;2016-03-21;127;60;278
2016-03-21;2016-03-21;175;416;279
2016-03-21;2016-03-21;189;554;280
2016-03-21;2016-03-21;498;258;281
2016-03-22;2016-03-22;127;60;282
2016-03-22;2016-03-22;189;554;283
2016-03-22;2016-03-22;584;266;284
2016-03-22;2016-03-24;498;258;285
2016-03-22;2016-03-24;584;266;286
2016-03-22;2016-03-25;64;10;287
2016-03-23;2016-03-23;64;10;288
2016-03-23;2016-03-24;189;554;289
2016-03-23;2016-03-25;127;60;290
2016-03-24;2016-03-24;41;212;291
2016-03-24;2016-03-24;498;258;292
2016-03-25;2016-03-25;66;80;293
2016-03-25;2016-03-25;189;554;294
2016-03-25;2016-03-26;41;212;295
2016-03-28;2016-03-28;41;212;296
2016-03-28;2016-03-28;127;60;297
2016-03-28;2016-03-28;498;258;298
2016-03-29;2016-03-29;127;60;299
2016-03-29;2016-03-29;189;554;300
2016-03-29;2016-03-29;498;258;301
2016-03-29;2016-03-29;515;248;302
2016-03-29;2016-03-29;542;734;303
2016-03-29;2016-03-29;714;159;304
2016-03-29;2016-03-29;718;66;305
2016-03-29;2016-03-29;738;746;306
2016-03-29;2016-03-30;175;416;307
2016-03-29;2016-03-30;542;734;308
2016-03-29;2016-03-31;526;525;309
2016-03-29;2016-03-31;584;266;310
2016-03-30;2016-03-30;41;212;311
2016-03-30;2016-03-30;175;416;312
2016-03-30;2016-03-30;355;528;313
2016-03-30;2016-03-30;498;258;314
2016-03-30;2016-03-30;738;746;315
2016-03-30;2016-03-30;763;163;316
2016-03-30;2016-03-31;189;554;317
2016-03-30;2016-03-31;355;528;318
2016-03-30;2016-04-02;718;66;319
2016-03-30;2016-04-13;127;60;320
2016-03-31;2016-03-31;41;212;321
2016-03-31;2016-03-31;169;64;322
2016-03-31;2016-03-31;332;672;323
2016-03-31;2016-03-31;418;469;324
2016-03-31;2016-03-31;498;258;325
2016-03-31;2016-03-31;738;746;326
2016-03-31;2016-03-31;763;163;327
2016-04-01;2016-04-01;41;212;328
2016-04-01;2016-04-01;175;416;329
2016-04-01;2016-04-01;189;554;330
2016-04-01;2016-04-01;738;746;331
2016-04-01;2016-04-02;332;672;332
2016-04-01;2016-04-02;526;525;333
2016-04-01;2016-04-02;584;266;334
2016-04-02;2016-04-02;304;726;335
2016-04-02;2016-04-02;738;746;336
2016-04-03;2016-04-03;738;746;337
2016-04-04;2016-04-04;41;212;338
2016-04-04;2016-04-04;304;726;339
2016-04-04;2016-04-04;498;258;340
2016-04-04;2016-04-04;542;734;341
2016-04-04;2016-04-04;584;266;342
2016-04-04;2016-04-04;738;746;343
2016-04-04;2016-04-07;189;554;344
2016-04-04;2016-04-08;526;525;345
2016-04-05;2016-04-05;41;212;346
2016-04-05;2016-04-05;498;258;347
2016-04-05;2016-04-05;542;734;348
2016-04-05;2016-04-05;718;66;349
2016-04-05;2016-04-06;418;469;350
2016-04-06;2016-04-06;304;726;351
2016-04-06;2016-04-06;498;258;352
2016-04-06;2016-04-06;542;734;353
2016-04-06;2016-04-09;718;66;354
2016-04-07;2016-04-07;66;80;355
2016-04-07;2016-04-07;304;726;356
2016-04-07;2016-04-07;418;469;357
