id_lieu;type_de_tournage;titre;realisateur_ice;societe_de_production;localisation_de_la_scene;code_postal;date_de_debut;date_de_fin;longitude;latitude
2019-168;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue payenne, 75003 paris;75003;2019-02-15;2019-02-16;2.36246962;48.85821901
2019-169;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue bichat, 75010 paris;75010;2019-02-15;2019-02-15;2.36787378;48.87180669
2019-523;Série TV;Munch saison 3;Laurent TUEL;JLAPRODUCTIONS;7 rue du jourdain, 75020 paris;75020;2019-05-24;2019-05-25;2.38927164;48.8747952
2019-528;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;rue adolphe yvon, 75116 paris;75116;2019-05-21;2019-05-21;2.27161094;48.86404196
2019-1449;Long métrage;PAR UN DEMI CLAIR MATIN;Bruno Dumont;3B PRODUCTIONS;place françois ier, 75008 paris;75008;2019-11-03;2019-11-03;2.3076061;48.86625686
2019-1450;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;21 rue augustin thierry, 75019 paris;75019;2019-10-23;2019-10-23;2.39323292;48.87615564
2018-800;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);rue pasteur, 75011 paris;75011;2018-07-10;2018-07-10;2.37589888;48.86236702
2018-817;Série Web;Sid Lee - Salomon;Eric Meng;Les Initiés;passerelle bz/12, 75012 paris;75012;2018-07-11;2018-07-11;2.38736521;48.84232937
2018-1516;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;41b quai de la loire, 75019 paris;75019;2018-12-05;2018-12-06;2.37902873;48.8876142
2018-1519;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;5 avenue albert de mun, 75116 paris;75116;2018-12-06;2018-12-08;2.29147419;48.86303972
2018-1544;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;1 place de breteuil, 75007 paris;75007;2018-12-11;2018-12-11;2.31224982;48.84770728
2018-1551;Long métrage;La nuit venue;Frederic Farrucci;Koro film;boulevard gouvion-saint-cyr, 75017 paris;75017;2018-12-12;2018-12-13;2.28735985;48.88304848
2019-478;Série TV;ROMANCE;Hervé HADMAR;CINETEVE;52 rue condorcet, 75009 paris;75009;2019-04-30;2019-05-01;2.34308679;48.88028864
2019-480;Série TV;PLATANE SAISON 3;ERIC JUDOR;4 MECS EN BASKETS;10 boulevard delessert, 75016 paris;75016;2019-05-13;2019-05-13;2.28504673;48.85883321
2019-1477;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;rue de la manutention, 75116 paris;75116;2019-11-07;2019-11-07;2.2962601400000002;48.86345165
2018-858;Série Web;La République;Simon Bouisson;Cinétévé;rue du grand prieuré, 75011 paris;75011;2018-07-26;2018-07-26;2.36879113;48.86544604
2018-862;Série Web;La République;Simon Bouisson;Cinétévé;18 place de la république, 75010 paris;75010;2018-07-27;2018-07-28;2.36283072;48.86796292
2018-1257;Long métrage;LA BELLE EPOQUE;NICOLAS BEDOS;LES FILMS DU KIOSQUE;voie dd/12, 75012 paris;75012;2018-10-16;2018-10-17;2.41461524;48.84663193
2018-1273;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;pont saint-louis, 75004 paris;75004;2018-10-26;2018-10-26;2.35230612;48.85266597
2019-235;Long métrage;UN VOYAGE EN HIVER;Claus DREXLER;MANEKI FILMS;place du pont neuf, 75001 paris;75001;2019-03-12;2019-03-12;2.3413928;48.85715911
2019-256;Long métrage;LE SEL DES LARMES;Philippe Garrel;RECTANGLE PRODUCTIONS;9 rue pierre bourdan, 75012 paris;75012;2019-03-09;2019-03-09;2.39150914;48.84675077
2019-537;Série TV;The Eddy;Damien Chazelle;atlantique productions;103 boulevard suchet, 75016 paris;75016;2019-05-24;2019-05-24;2.25988838;48.84950862
2019-1537;Long métrage;Tendre et saignant;Christopher Thompson;Les Films du Cap;53 rue de saintonge, 75003 paris;75003;2019-11-18;2019-11-19;2.36491118;48.86390989
2018-917;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;6 rue manin, 75019 paris;75019;2018-08-06;2018-08-06;2.38535658;48.88289293
2019-187;Long métrage;les hommes de Namsan;Min-Ho Woo;KEYSTONE FILMS;125 rue de grenelle, 75007 paris;75007;2019-02-22;2019-02-22;2.31633352;48.8577534
2019-197;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;12 rue marbeuf, 75008 paris;75008;2019-02-26;2019-02-27;2.30274582;48.86778091
2019-201;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;31 rue de grenelle, 75007 paris;75007;2019-02-26;2019-02-26;2.32747723;48.85373536
